ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta(sig_up.down)	subtelomeric	category
YNL052W	2186	0.03684829	0.094345782	0.009594587	0.004596339	7.117059502	0.017655384	0.00083757	0.006380048	0.008614128	0.008614128	COX5A	COX5A	YNL052W	aerobic respiration* || cytochrome-c oxidase activity || YNL052W || 1085400	-3.76	0.0117	0.36	NA	NA	NA	0.00017	0.000112	0.48	0.44	0.572	NA	NA	no	NA
YDL091C	5127	0.812758799	0.887039755	0.001381817	0.005833689	5.074007038	0.01611171	0.006221083	0.006526227	0.00900444	0.00900444	UBX3	UBX3	YDL091C	biological process unknown || molecular function unknown || YDL091C || 1086557	-3.75	0.012	0.64	NA	NA	NA	0	6.01E-09	1	0.33	0.0739	NA	NA	no	NA
YDL194W	4602	0.601913229	0.732053095	0.003591759	0.006885365	4.686030219	0.019287257	0.010486425	0.003790184	0.010723519	0.010723519	SNF3	SNF3	YDL194W	signal transduction* || receptor activity* || YDL194W || 1084549	-3.75	0.0119	0.28	NA	NA	NA	0.00118	0.000839	0.12	0.52	0.851	NA	NA	no	NA
YGL190C	1305	0.004164685	0.017861871	-0.013657645	0.004766383	6.132394885	0.00881801	0.002240091	0.003123516	0.007923881	0.007923881	CDC55	CDC55	YGL190C	protein biosynthesis* || protein phosphatase type 2A activity || YGL190C || 1085681	-3.75	0.0119	0.34	NA	NA	NA	0.00031	0.000204	0.98	0.4	0.331	NA	down	no	NA
YIL042C	3513	0.238925514	0.380662141	0.007823305	0.006642999	5.611723299	0.048445384	0.00386889	0.015874148	0.008026672	0.015874148	PKP1	YIL042C	YIL042C	biological process unknown || kinase activity || YIL042C || 1081255	-3.75	0.012	0.24	NA	NA	NA	0.00395	0.00266	1.04	0.51	0.825	NA	NA	no	NA
YMR020W	152	8.78E-09	3.23E-07	0.044582209	0.007749777	5.520043007	0.118174295	0.004442847	0.022426929	0.008103554	0.022426929	FMS1	FMS1	YMR020W	pantothenate biosynthesis* || amine oxidase activity || YMR020W || 1082144	-3.73	0.0123	0.57	NA	NA	NA	0	9.07E-08	1.17	0.35	0.142	NA	up	no	Insensitive_up
YLR271W	2327	0.047478154	0.114196487	0.022344564	0.011273691	3.471739654	0.0727083	0.03302798	0.000652494	0.023833462	0.023833462	YLR271W	YLR271W	YLR271W	biological process unknown || molecular function unknown || YLR271W || 1085568	-3.73	0.0124	0.5	NA	NA	NA	0	1.20E-06	1.28	0.37	0.222	NA	NA	no	NA
YGR194C	3220	0.17322301	0.301105001	0.014618788	0.010733952	5.287861573	0.108667848	0.005468593	0.046078589	0.008473744	0.046078589	XKS1	XKS1	YGR194C	xylulose catabolism || xylulokinase activity || YGR194C || 1086209	-3.72	0.0125	0.63	NA	up	NA	0	9.20E-09	0.51	0.33	0.0729	NA	NA	no	ccore_ESR_up
YNL015W	1302	0.004153287	0.017854029	0.021871129	0.007630497	5.050876047	0.11289388	0.007928143	0.018120869	0.009075782	0.018120869	PBI2	PBI2	YNL015W	"vacuole fusion, non-autophagic* || endopeptidase inhibitor activity || YNL015W || 1084334"	-3.72	0.0126	0.18	NA	up	NA	0.0141	0.00911	0.63	0.59	0.954	NA	up	no	ccore_ESR_up
YDR033W	4787	0.672866607	0.786721203	0.006148686	0.014562857	8.369473665	0.342952389	0.000280292	0.094600611	0.009494618	0.094600611	MRH1	MRH1	YDR033W	biological process unknown || molecular function unknown || YDR033W || 1084197	-3.72	0.0125	0.11	NA	NA	NA	0.0693	0.0493	1.52	0.79	0.999	NA	NA	no	NA
YFR029W	5432	0.930449721	0.958712645	0.000485553	0.005563226	5.689139048	0.018808277	0.003689384	0.010157083	0.007976455	0.010157083	PTR3	PTR3	YFR029W	sensory perception of chemical stimulus || amino acid binding || YFR029W || 1080631	-3.72	0.0126	0.24	NA	NA	NA	0.00336	0.00227	0.74	0.49	0.765	NA	NA	no	NA
YGL227W	3089	0.148509848	0.269157945	0.01309634	0.009064372	5.706104765	0.070390029	0.003486221	0.033272554	0.007966198	0.033272554	VID30	VID30	YGL227W	vacuolar protein catabolism* || molecular function unknown || YGL227W || 1085115	-3.72	0.0125	0.64	NA	NA	NA	0	5.96E-09	1.02	0.32	0.0621	NA	NA	no	NA
YOR223W	3826	0.333561989	0.487963004	0.009171962	0.009485318	4.174820409	0.083350727	0.016776482	0.023475702	0.014524753	0.023475702	YOR223W	YOR223W	YOR223W	biological process unknown || molecular function unknown || YOR223W || 1086438	-3.72	0.0125	0.36	NA	NA	NA	0.00014	9.57E-05	0.88	0.42	0.426	NA	NA	no	NA
YGR194C	3220	0.17322301	0.301105001	0.014618788	0.010733952	5.287861573	0.108667848	0.005468593	0.046078589	0.008473744	0.046078589	XKS1	XKS1	YGR194C	xylulose catabolism || xylulokinase activity || YGR194C || 1086209	-3.72	0.0125	0.63	NA	up	NA	0	9.20E-09	0.51	0.33	0.0729	NA	NA	no	NA
YNL015W	1302	0.004153287	0.017854029	0.021871129	0.007630497	5.050876047	0.11289388	0.007928143	0.018120869	0.009075782	0.018120869	PBI2	PBI2	YNL015W	"vacuole fusion, non-autophagic* || endopeptidase inhibitor activity || YNL015W || 1084334"	-3.72	0.0126	0.18	NA	up	NA	0.0141	0.00911	0.63	0.59	0.954	NA	up	no	NA
YDL137W	4432	0.539855159	0.681608239	-0.00334378	0.005454495	7.209546282	0.016918037	0.000772921	0.012537592	0.0087006	0.012537592	ARF2	ARF2	YDL137W	ER to Golgi transport* || GTPase activity || YDL137W || 1081812	-3.71	0.0127	0.65	NA	NA	NA	0	3.10E-09	1.2	0.32	0.0546	NA	NA	no	NA
YDR377W	5271	0.861107218	0.914191407	-0.001196627	0.006839239	6.097262943	0.02502297	0.00251792	0.0184088	0.007914453	0.0184088	ATP17	ATP17	YDR377W	"ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YDR377W || 1086325"	-3.71	0.0128	0.31	NA	NA	NA	0.00052	0.000386	0.8	0.48	0.715	NA	NA	no	NA
YGR258C	5290	0.868800713	0.919220716	0.000995008	0.006023704	5.558236686	0.029504169	0.003874421	0.012359108	0.008068276	0.012359108	RAD2	RAD2	YGR258C	"nucleotide-excision repair, DNA incision, 3'-to lesion || single-stranded DNA specific endodeoxyribonuclease activity || YGR258C || 1084001"	-3.71	0.0126	0.58	NA	NA	NA	0	6.64E-08	0.97	0.31	0.0395	NA	NA	no	NA
YLR089C	3279	0.184683323	0.315240182	0.014061193	0.010600443	7.901625381	0.10147784	0.000400079	0.049872786	0.009223297	0.049872786	ALT1	YLR089C	YLR089C	biological process unknown || transaminase activity || YLR089C || 1086878	-3.71	0.0126	0.09	NA	NA	NA	0.0949	0.0691	0.31	0.87	1	NA	NA	no	NA
YIR025W	2219	0.039077633	0.0985658	0.021734051	0.010533286	3.606899706	0.05329435	0.028121632	0.010967705	0.021516268	0.021516268	MND2	MND2	YIR025W	mitotic sister chromatid segregation* || molecular function unknown || YIR025W || 1085792	-3.7	0.0129	0.54	NA	NA	NA	0	3.55E-07	0.95	0.33	0.0781	NA	NA	TEL	TELO
YIR003W	4983	0.748650111	0.840795199	-0.001674921	0.00522727	5.734269105	0.022148705	0.00362762	0.008597006	0.007949222	0.008597006	AIM21	YIR003W	YIR003W	biological process unknown || molecular function unknown || YIR003W || 1085692	-3.68	0.0133	0.43	NA	NA	NA	2.00E-05	1.31E-05	0.65	0.39	0.292	NA	NA	no	NA
YDR022C	1642	0.011589839	0.03950568	0.027921186	0.011060556	3.736478311	0.064219678	0.025479497	0.029252277	0.019562553	0.029252277	CIS1	CIS1	YDR022C	microtubule cytoskeleton organization and biogenesis || molecular function unknown || YDR022C || 1084275	-3.67	0.0135	0.37	NA	NA	NA	0.00014	8.05E-05	1.1	0.43	0.523	NA	up	no	Insensitive_up
YJL016W	968	0.001181359	0.006830649	0.024251123	0.0074772	6.218600534	0.04786344	0.002188948	0.022823927	0.007943088	0.022823927	YJL016W	YJL016W	YJL016W	biological process unknown || molecular function unknown || YJL016W || 1082359	-3.67	0.0135	0.18	NA	NA	NA	0.015	0.00982	1.27	0.61	0.965	NA	up	no	NA
YEL063C	3972	0.376195801	0.529969267	0.005497204	0.00621204	8.193280674	0.086813857	0.000305115	0.016959391	0.00939769	0.016959391	CAN1	CAN1	YEL063C	basic amino acid transport || basic amino acid transporter activity* || YEL063C || 1084682	-3.67	0.0136	0.09	NA	NA	NA	0.114	0.0845	0.44	0.89	1	NA	NA	TEL	TELO
YNL305C	538	3.71E-05	0.000385672	0.039695115	0.009622802	5.775064056	0.121309522	0.003666436	0.037761064	0.007923915	0.037761064	YNL305C	YNL305C	YNL305C	biological process unknown || molecular function unknown || YNL305C || 1085158	-3.66	0.0137	0.42	NA	up	NA	3.00E-05	1.75E-05	0.77	0.36	0.159	NA	up	no	ccore_ESR_up
YLR205C	562	5.00E-05	0.000498177	0.041109715	0.010136725	6.286881378	0.207547711	0.00225531	0.043715373	0.007969308	0.043715373	HMX1	HMX1	YLR205C	iron ion homeostasis* || heme binding* || YLR205C || 1081657	-3.66	0.0137	0.15	NA	NA	NA	0.0317	0.0211	0.75	0.65	0.984	NA	up	no	Insensitive_up
YNL305C	538	3.71E-05	0.000385672	0.039695115	0.009622802	5.775064056	0.121309522	0.003666436	0.037761064	0.007923915	0.037761064	YNL305C	YNL305C	YNL305C	biological process unknown || molecular function unknown || YNL305C || 1085158	-3.66	0.0137	0.42	NA	up	NA	3.00E-05	1.75E-05	0.77	0.36	0.159	NA	up	no	Insensitive_up
YDR262W	1756	0.015383141	0.049021707	0.012040553	0.004968801	6.237701755	0.05679909	0.002038309	0.009007279	0.007948733	0.009007279	YDR262W	YDR262W	YDR262W	biological process unknown || molecular function unknown || YDR262W || 1085776	-3.66	0.0138	0.46	NA	NA	NA	0	6.35E-06	1.43	0.38	0.233	NA	up	no	NA
YHR102W	1344	0.004773643	0.019879522	-0.013220193	0.004684815	6.439541528	0.011030658	0.001745031	0.003357974	0.008074042	0.008074042	KIC1	KIC1	YHR102W	cell wall organization and biogenesis* || kinase activity || YHR102W || 1081602	-3.66	0.0138	0.28	NA	NA	NA	0.00139	0.000992	0.99	0.44	0.554	NA	down	no	NA
YJR103W	5227	0.846398863	0.906312308	0.001215746	0.006275943	6.946105517	0.026495138	0.000917856	0.016703675	0.008461825	0.016703675	URA8	URA8	YJR103W	phospholipid biosynthesis* || CTP synthase activity || YJR103W || 1080969	-3.66	0.0138	0.24	NA	NA	NA	0.00375	0.0025	0.9	0.52	0.834	NA	NA	no	NA
YLL058W	313	1.67E-06	2.98E-05	0.032422956	0.006769118	5.766571446	0.082645233	0.003245071	0.017254738	0.00792931	0.017254738	YLL058W	YLL058W	YLL058W	sulfur metabolism || cystathionine gamma-synthase activity || YLL058W || 1083346	-3.66	0.0137	0.03	NA	NA	NA	0.341	0.289	1.59	1.23	1	NA	up	TEL	TELO
YHL021C	155	1.01E-08	3.65E-07	0.076813556	0.013408061	6.500796267	0.627021677	0.002005517	0.07842439	0.008126029	0.07842439	AIM17	YHL021C	YHL021C	biological process unknown || molecular function unknown || YHL021C || 1082690	-3.65	0.014	0.29	NA	up	NA	0.00107	0.000747	0.86	0.44	0.539	NA	NA	no	ccore_ESR_up
YHL021C	155	1.01E-08	3.65E-07	0.076813556	0.013408061	6.500796267	0.627021677	0.002005517	0.07842439	0.008126029	0.07842439	AIM17	YHL021C	YHL021C	biological process unknown || molecular function unknown || YHL021C || 1082690	-3.65	0.014	0.29	NA	up	NA	0.00107	0.000747	0.86	0.44	0.539	NA	NA	no	Insensitive_up
YBR241C	565	5.10E-05	0.000505591	0.039558682	0.009765592	5.899979554	0.104849498	0.002837385	0.039828698	0.007882597	0.039828698	YBR241C	YBR241C	YBR241C	biological process unknown || molecular function unknown || YBR241C || 1080979	-3.64	0.0142	0.25	NA	NA	NA	0.00272	0.00188	0.73	0.48	0.718	NA	up	no	Insensitive_up
YBR270C	5126	0.812534902	0.887039755	-0.001778902	0.007500945	4.403070854	0.027403061	0.01195492	0.013217072	0.012630504	0.013217072	BIT2	YBR270C	YBR270C	biological process unknown || molecular function unknown || YBR270C || 1083114	-3.64	0.0141	0.71	NA	NA	NA	0	1.54E-10	0.92	0.29	0.0157	NA	NA	no	NA
YKR101W	3052	0.143067125	0.262367857	0.011047169	0.007543488	4.387419541	0.024354778	0.01270799	0.005060141	0.012750349	0.012750349	SIR1	SIR1	YKR101W	chromatin silencing at silent mating-type cassette* || DNA binding* || YKR101W || 1086144	-3.64	0.0141	0.68	NA	NA	NA	0	5.42E-10	1.02	0.32	0.0569	NA	NA	TEL	TELO
YPL171C	326	2.13E-06	3.66E-05	0.088197386	0.018605558	2.740408342	0.718455872	0.111665555	-0.065502638	0.043205784	0.043205784	OYE3	OYE3	YPL171C	biological process unknown || NADPH dehydrogenase activity || YPL171C || 1084964	-3.63	0.0145	0.09	NA	NA	NA	0.102	0.0746	-0.47	0.82	1	NA	up	no	Insensitive_up
YGR186W	2916	0.121326226	0.232896222	-0.008453965	0.005456879	6.57093139	0.023903452	0.001452959	0.01186919	0.008186818	0.01186919	TFG1	TFG1	YGR186W	transcription initiation from RNA polymerase II promoter || general RNA polymerase II transcription factor activity || YGR186W || 1084533	-3.63	0.0144	0.62	NA	NA	NA	0	1.10E-08	0.99	0.3	0.0253	NA	NA	no	NA
YMR018W	4302	0.488873163	0.636035122	0.009894201	0.014295868	3.061734159	0.213043044	0.058410229	-0.007224433	0.033023555	0.033023555	YMR018W	YMR018W	YMR018W	biological process unknown || molecular function unknown || YMR018W || 1083307	-3.63	0.0144	0.23	NA	NA	NA	0.00472	0.00316	1.01	0.48	0.716	NA	NA	no	NA
YPL113C	3721	0.296876764	0.4465518	0.013680244	0.013114303	3.677729141	0.25931008	0.045009532	0.031934698	0.020417897	0.031934698	YPL113C	YPL113C	YPL113C	metabolism || oxidoreductase activity || YPL113C || 1082522	-3.62	0.0146	0.15	NA	NA	NA	0.0322	0.0215	0.25	0.64	0.981	NA	NA	no	NA
YGL104C	1440	0.006366557	0.02474557	0.040811878	0.014958831	5.147821615	0.204221231	0.005999097	0.09411171	0.008797615	0.09411171	VPS73	VPS73	YGL104C	protein-vacuolar targeting || molecular function unknown || YGL104C || 1081184	-3.61	0.0148	0.32	NA	up	NA	0.00039	0.000286	0.62	0.46	0.641	NA	up	no	ccore_ESR_up
YGL104C	1440	0.006366557	0.02474557	0.040811878	0.014958831	5.147821615	0.204221231	0.005999097	0.09411171	0.008797615	0.09411171	VPS73	VPS73	YGL104C	protein-vacuolar targeting || molecular function unknown || YGL104C || 1081184	-3.61	0.0148	0.32	NA	up	NA	0.00039	0.000286	0.62	0.46	0.641	NA	up	no	Insensitive_up
YER143W	885	0.000713966	0.004506116	0.01792789	0.005297591	5.515886853	0.076645613	0.00444801	0.00603081	0.008107734	0.008107734	DDI1	DDI1	YER143W	ubiquitin-dependent protein catabolism* || SNARE binding || YER143W || 1086496	-3.6	0.015	0.36	NA	NA	NA	0.00019	0.000122	0.88	0.38	0.245	NA	up	no	NA
YLR254C	3517	0.240061108	0.381935986	-0.010930683	0.009304023	4.012485947	0.038479565	0.02258667	0.015060649	0.016141517	0.016141517	NDL1	NDL1	YLR254C	"nuclear migration, microtubule-mediated || molecular function unknown || YLR254C || 1081347"	-3.6	0.0149	0.42	NA	NA	NA	4.00E-05	2.21E-05	1.08	0.39	0.282	NA	NA	no	NA
YNL133C	4545	0.582940344	0.71786955	-0.005782126	0.010530285	3.691770513	0.062912871	0.029400626	0.008361992	0.020208993	0.020208993	FYV6	FYV6	YNL133C	double-strand break repair via nonhomologous end-joining || molecular function unknown || YNL133C || 1082125	-3.6	0.0149	0.41	NA	NA	NA	5.00E-05	2.87E-05	1.37	0.4	0.345	NA	NA	no	NA
YOL043C	5219	0.844110809	0.905074368	-0.001586974	0.008070536	4.264923325	0.026408866	0.015405393	0.007458079	0.013734665	0.013734665	NTG2	NTG2	YOL043C	base-excision repair* || DNA-(apurinic or apyrimidinic site) lyase activity* || YOL043C || 1082470	-3.6	0.015	0.65	NA	NA	NA	0	3.07E-09	0.84	0.32	0.0481	NA	NA	no	NA
YJL105W	2049	0.027983527	0.076439142	0.041130223	0.018716678	2.576260469	0.215114483	0.106996784	0.039037873	0.049729986	0.049729986	SET4	SET4	YJL105W	biological process unknown || molecular function unknown || YJL105W || 1084811	-3.59	0.0153	0.48	NA	NA	NA	0	3.18E-06	0.84	0.38	0.269	NA	NA	no	Insensitive_up
YNL192W	357	3.80E-06	5.95E-05	0.025899312	0.005603179	7.548003759	0.10611203	0.000556866	0.013489196	0.008989279	0.013489196	CHS1	CHS1	YNL192W	"cytokinesis, completion of separation* || chitin synthase activity || YNL192W || 1083009"	-3.59	0.0152	0.34	NA	NA	NA	0.00032	0.000217	1.18	0.45	0.61	NA	up	no	Insensitive_up
YDL181W	2143	0.034018429	0.08872374	0.022560913	0.010642677	4.895488954	0.067933534	0.008285163	0.042389095	0.009656287	0.042389095	INH1	INH1	YDL181W	ATP synthesis coupled proton transport || enzyme inhibitor activity || YDL181W || 1085789	-3.59	0.0152	0.27	NA	NA	NA	0.00143	0.00104	0.54	0.48	0.717	NA	NA	no	NA
YKL171W	3533	0.244233724	0.386916545	0.005743385	0.004932189	5.819189616	0.018248775	0.002982527	0.002389564	0.007900884	0.007900884	YKL171W	YKL171W	YKL171W	proteolysis and peptidolysis || protein kinase activity || YKL171W || 1085812	-3.59	0.0153	0.45	NA	NA	NA	0	7.11E-06	0.78	0.38	0.261	NA	NA	no	NA
YMR227C	2375	0.053243073	0.125474306	-0.016530038	0.008551741	4.120014037	0.032106607	0.01767703	0.00664823	0.015041568	0.015041568	TAF7	TAF7	YMR227C	transcription initiation from RNA polymerase II promoter* || general RNA polymerase II transcription factor activity || YMR227C || 1082339	-3.59	0.0153	0.36	NA	NA	NA	0.00019	0.000122	0.87	0.36	0.179	NA	NA	no	NA
YLR247C	5386	0.911976226	0.947703478	0.000512863	0.004639359	6.574284696	0.018762368	0.001439768	0.002897432	0.008189684	0.008189684	IRC20	YLR247C	YLR247C	biological process unknown || helicase activity || YLR247C || 1084632	-3.58	0.0156	0.66	NA	NA	NA	0	1.80E-09	1.05	0.32	0.0495	NA	NA	no	NA
YLR423C	4112	0.421637689	0.573907137	0.007996521	0.009951079	3.784872223	0.048388093	0.0254084	-0.006433475	0.01889387	0.01889387	ATG17	ATG17	YLR423C	autophagy || kinase activator activity || YLR423C || 1082244	-3.58	0.0156	0.29	NA	NA	NA	0.00106	0.000728	1.21	0.45	0.578	NA	NA	no	NA
YOR148C	5143	0.818014019	0.890051413	-0.001632463	0.007094581	4.584378651	0.021818539	0.011168858	0.004746897	0.011349625	0.011349625	SPP2	SPP2	YOR148C	"nuclear mRNA splicing, via spliceosome || molecular function unknown || YOR148C || 1085303"	-3.58	0.0154	0.49	NA	NA	NA	0	2.37E-06	0.92	0.33	0.0709	NA	NA	no	NA
YPL262W	1870	0.019499733	0.05836364	0.010771907	0.004611583	7.642372955	0.011762362	0.000460402	0.006972539	0.009054092	0.009054092	FUM1	FUM1	YPL262W	tricarboxylic acid cycle* || fumarate hydratase activity || YPL262W || 1084220	-3.58	0.0156	0.13	NA	NA	NA	0.047	0.0326	0.22	0.64	0.982	NA	NA	no	NA
YOR132W	1774	0.0161641	0.050998008	0.013216261	0.005494895	5.760043953	0.03905638	0.003344695	0.01016372	0.007933403	0.01016372	VPS17	VPS17	YOR132W	"retrograde transport, endosome to Golgi || molecular function unknown || YOR132W || 1084155"	-3.57	0.0158	0.52	NA	NA	NA	0	6.50E-07	0.91	0.29	0.0187	NA	NA	no	NA
YHR157W	141	3.97E-09	1.57E-07	0.108978354	0.018517056	3.349512445	1.099782982	0.063174571	0.090226892	0.026205825	0.090226892	REC104	REC104	YHR157W	meiotic recombination* || molecular function unknown || YHR157W || 1081039	-3.56	0.0159	0.53	NA	NA	NA	0	4.21E-07	1.12	0.34	0.0895	NA	up	no	Insensitive_up
YCR014C	1702	0.013372732	0.043976017	-0.016210625	0.006553228	4.773727766	0.024419719	0.008973575	0.009383462	0.010239469	0.010239469	POL4	POL4	YCR014C	double-strand break repair via nonhomologous end-joining* || beta DNA polymerase activity || YCR014C || 1081601	-3.56	0.0162	0.49	NA	NA	NA	0	1.75E-06	1	0.38	0.256	NA	down	no	NA
YMR137C	3465	0.227941385	0.368220355	0.009517634	0.007894005	4.340423642	0.030567244	0.014760733	0.000859883	0.013118477	0.013118477	PSO2	PSO2	YMR137C	DNA repair* || damaged DNA binding* || YMR137C || 1083835	-3.56	0.016	0.68	NA	NA	NA	0	6.05E-10	0.87	0.31	0.0414	NA	NA	no	NA
YPL271W	3194	0.166688621	0.292096497	0.014399507	0.010412374	5.077113802	0.058472961	0.006111203	0.042393648	0.008995111	0.042393648	ATP15	ATP15	YPL271W	"ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YPL271W || 1083479"	-3.56	0.016	0.32	NA	NA	NA	0.00041	0.000299	0.55	0.46	0.655	NA	NA	TEL	TELO
YLR273C	1402	0.005788622	0.023109071	0.026061662	0.009444271	4.56503874	0.100511672	0.01173183	0.02817273	0.011476445	0.02817273	PIG1	PIG1	YLR273C	regulation of glycogen biosynthesis || protein phosphatase regulator activity || YLR273C || 1081491	-3.55	0.0163	0.34	NA	NA	NA	0.00032	0.000209	0.86	0.39	0.293	NA	up	no	Insensitive_up
YLL003W	2241	0.040977275	0.102342618	-0.010994097	0.005379349	5.478517962	0.013302585	0.00465768	0.008288601	0.008148781	0.008288601	SFI1	SFI1	YLL003W	G2/M transition of mitotic cell cycle* || molecular function unknown || YLL003W || 1084198	-3.55	0.0162	0.38	NA	NA	NA	1.00E-04	5.74E-05	0.81	0.41	0.389	NA	NA	no	NA
YLL040C	5062	0.784175345	0.867054406	0.002077199	0.007584284	7.988310383	0.031949912	0.000346347	0.025388101	0.00927692	0.025388101	VPS13	VPS13	YLL040C	sporulation (sensu Fungi)* || molecular function unknown || YLL040C || 1082012	-3.55	0.0164	0.51	NA	NA	NA	0	1.15E-06	0.81	0.35	0.142	NA	NA	no	NA
YCR097W	1778	0.016418186	0.05168312	-0.020219845	0.008426746	4.309034214	0.066816295	0.014297208	0.017471933	0.013371044	0.017471933	HMRA1	HMRA1	YCR097W	"regulation of transcription, mating-type specific || transcription corepressor activity || YCR097W || 1085705"	-3.55	0.0163	0.32	NA	NA	NA	0.00041	0.000302	0.97	0.4	0.354	NA	NA	TEL	TELO
YLR216C	99	6.90E-11	3.90E-09	0.039472782	0.006051484	6.651445082	0.180732772	0.001455006	0.014928596	0.008252474	0.014928596	CPR6	CPR6	YLR216C	protein folding || unfolded protein binding* || YLR216C || 1086406	-3.54	0.0164	0.39	NA	NA	NA	1.00E-04	5.36E-05	0.92	0.38	0.251	NA	up	no	Insensitive_up
YNR067C	1016	0.001479852	0.008152295	-0.014710376	0.004627933	7.750074285	0.036754251	0.000456105	0.008221826	0.009125975	0.009125975	DSE4	DSE4	YNR067C	"cytokinesis, completion of separation || glucan 1,3-beta-glucosidase activity || YNR067C || 1083222"	-3.54	0.0165	0.28	NA	NA	NA	0.00139	0.000985	0.77	0.47	0.672	NA	down	TEL	TELO
YPL054W	4409	0.53089151	0.673786798	0.007189738	0.01147337	4.377515852	0.687950109	0.018270462	0.04062307	0.012826903	0.04062307	LEE1	LEE1	YPL054W	biological process unknown || molecular function unknown || YPL054W || 1082176	-3.53	0.017	0.18	NA	up	NA	0.015	0.00984	1.27	0.61	0.966	NA	NA	no	ccore_ESR_up
YOR089C	5461	0.94144511	0.96489073	-0.000416488	0.005670073	5.191900679	0.025403431	0.005696183	0.004750393	0.008687261	0.008687261	VPS21	VPS21	YOR089C	endocytosis* || GTPase activity || YOR089C || 1082984	-3.53	0.0169	0.64	NA	NA	NA	0	3.83E-09	1.14	0.3	0.0248	NA	NA	no	NA
YOR113W	3708	0.293781528	0.443478305	0.00532657	0.00507359	5.746117595	0.021353444	0.00326714	0.008249249	0.007942006	0.008249249	AZF1	AZF1	YOR113W	"regulation of transcription, DNA-dependent* || DNA binding* || YOR113W || 1081998"	-3.53	0.0168	0.59	NA	NA	NA	0	4.70E-08	0.92	0.31	0.0447	NA	NA	no	NA
YPL054W	4409	0.53089151	0.673786798	0.007189738	0.01147337	4.377515852	0.687950109	0.018270462	0.04062307	0.012826903	0.04062307	LEE1	LEE1	YPL054W	biological process unknown || molecular function unknown || YPL054W || 1082176	-3.53	0.017	0.18	NA	up	NA	0.015	0.00984	1.27	0.61	0.966	NA	NA	no	NA
YAL056W	1791	0.016691907	0.052163373	-0.011005771	0.004598336	6.757432738	0.019902662	0.001137664	0.001866498	0.008322247	0.008322247	GPB2	GPB2	YAL056W	signal transduction || signal transducer activity || YAL056W || 1085365	-3.53	0.0169	0.37	NA	NA	NA	0.00014	7.33E-05	1.09	0.38	0.248	NA	NA	TEL	TELO
YOL151W	4531	0.580287888	0.716811147	-0.005866839	0.010609798	6.632488171	0.074517233	0.001294703	0.049066941	0.008237764	0.049066941	GRE2	GRE2	YOL151W	response to stress || oxidoreductase activity* || YOL151W || 1084176	-3.52	0.0171	0.15	NA	up	NA	0.0309	0.0206	1.45	0.64	0.982	NA	NA	no	ccore_ESR_up
YLR387C	4791	0.674168494	0.787420922	-0.001992409	0.004738934	6.210290279	0.028081672	0.002106165	0.002847728	0.007941079	0.007941079	REH1	REH1	YLR387C	biological process unknown* || molecular function unknown || YLR387C || 1083512	-3.52	0.0172	0.7	NA	NA	NA	0	1.81E-10	0.91	0.27	0.0071	NA	NA	no	NA
YOL151W	4531	0.580287888	0.716811147	-0.005866839	0.010609798	6.632488171	0.074517233	0.001294703	0.049066941	0.008237764	0.049066941	GRE2	GRE2	YOL151W	response to stress || oxidoreductase activity* || YOL151W || 1084176	-3.52	0.0171	0.15	NA	up	NA	0.0309	0.0206	1.45	0.64	0.982	NA	NA	no	NA
YER051W	3902	0.354236731	0.508114552	-0.005648254	0.006096975	4.988870755	0.013018804	0.007346038	0.00175161	0.009284811	0.009284811	JHD1	YER051W	YER051W	biological process unknown || molecular function unknown || YER051W || 1085822	-3.51	0.0174	0.48	NA	NA	NA	0	3.18E-06	0.83	0.37	0.199	NA	NA	no	NA
YGR102C	2903	0.118276805	0.228042655	0.012490109	0.007995986	4.300941146	0.040290366	0.015167187	0.001439694	0.013437002	0.013437002	YGR102C	YGR102C	YGR102C	biological process unknown || molecular function unknown || YGR102C || 1082272	-3.51	0.0174	0.56	NA	NA	NA	0	1.41E-07	1.03	0.33	0.0858	NA	NA	no	NA
YLR070C	2121	0.032688075	0.086258914	0.030706865	0.014376588	3.138077187	0.175635094	0.0516611	0.040808143	0.03102834	0.040808143	XYL2	XYL2	YLR070C	monosaccharide metabolism || D-xylulose reductase activity || YLR070C || 1083108	-3.49	0.018	0.45	NA	NA	NA	0	6.68E-06	0.71	0.34	0.0948	NA	NA	no	Insensitive_up
YHL027W	3835	0.336047349	0.490423769	0.00493414	0.00512902	6.940923031	0.012756617	0.000985363	0.010784038	0.008457499	0.010784038	RIM101	RIM101	YHL027W	sporulation (sensu Fungi)* || specific transcriptional repressor activity || YHL027W || 1086568	-3.49	0.018	0.5	NA	NA	NA	0	1.52E-06	1.2	0.32	0.0595	NA	NA	no	NA
